"Date","Tank_ID","Temperature_C","mvTris","phTris","pH.Total"
"2022-06-02","header_tank",NA,NA,NA,NA
"2022-06-02","quarantine_tank",26.38,-58.6928444444444,8.05061050434337,8.44445000705737
"2022-06-02","blue_tank1",27.73,-57.1358444444444,8.00887993913377,8.33993170024278
"2022-06-02","blue_tank2",27.74,-57.1243111111111,8.00857181370019,8.3414807057996
"2022-06-02","blue_tank3",27.72,-57.1473777777778,8.00918807895799,8.34508285194038
"2022-06-02","blue_tank4",27.72,-57.1473777777778,8.00918807895799,8.346757918519
"2022-06-03","header_tank",26.72,-58.3007111111111,8.04007537217939,8.33249696535128
"2022-06-03","quarantine_tank",25.34,-59.8923111111111,8.08294314212905,8.47309859886871
"2022-06-03","blue_tank1",26.77,-58.2430444444444,8.03852753140351,8.35371423020019
"2022-06-03","blue_tank2",26.76,-58.2545777777778,8.03883707004656,8.35384046881052
"2022-06-03","blue_tank3",26.75,-58.2661111111111,8.0391466234419,8.35396670994907
"2022-06-03","blue_tank4",26.74,-58.2776444444444,8.03945619159327,8.35409295361834
"2022-06-06","header_tank",27.49,-57.4126444444444,8.01627927528158,8.29434108875763
"2022-06-06","quarantine_tank",25.77,-59.3963777777778,8.06955502997476,8.45065071041954
"2022-06-06","blue_tank1",27.52,-57.3780444444444,8.01535390320467,8.32581536624239
"2022-06-06","blue_tank2",27.52,-57.3780444444444,8.01535390320467,8.32581536624239
"2022-06-06","blue_tank3",27.52,-57.3780444444444,8.01535390320467,8.32413918544114
"2022-06-06","blue_tank4",27.52,-57.3780444444444,8.01535390320467,8.32246300463989
"2022-06-07","header_tank",27.241,-57.6998244444444,8.02396490252397,8.29743908000065
"2022-06-07","quarantine_tank",25.493,-59.7158511111111,8.07817624025564,8.46604700484294
"2022-06-07","blue_tank1",27.31,-57.6202444444444,8.0218342479092,8.3016125166024
"2022-06-07","blue_tank2",27.41,-57.5049111111111,8.0187475715308,8.29868986301354
"2022-06-07","blue_tank3",27.421,-57.4922244444444,8.01840812577611,8.30525982528098
"2022-06-07","blue_tank4",27.379,-57.5406644444444,8.01970428585669,8.30578375098889
"2022-06-10","header_tank",27.92,-56.9167111111111,8.0030280125111,NA
"2022-06-10","quarantine_tank",26.15,-58.9581111111111,8.05774696639847,NA
"2022-06-10","blue_tank1",27.97,-56.8590444444444,8.001488892094,NA
"2022-06-10","blue_tank2",27.97,-56.8590444444444,8.001488892094,NA
"2022-06-10","blue_tank3",27.95,-56.8821111111111,8.00210449732826,NA
"2022-06-10","blue_tank4",27.95,-56.8821111111111,8.00210449732826,NA
"2022-06-13","header_tank",28.13,-56.6745111111111,7.99656610727545,NA
"2022-06-13","quarantine_tank",25.8,-59.3617777777778,8.06862202296852,NA
"2022-06-13","blue_tank1",28.19,-56.6053111111111,7.99472100384538,NA
"2022-06-13","blue_tank2",28.14,-56.6629777777778,7.99625855444985,NA
"2022-06-13","blue_tank3",28.17,-56.6283777777778,7.9953359813971,NA
"2022-06-13","blue_tank4",28.14,-56.6629777777778,7.99625855444985,NA
"2022-06-14","header_tank",28.24,-56.5476444444444,7.99318380877735,NA
"2022-06-14","quarantine_tank",25.45,-59.7654444444444,8.07951559690237,NA
"2022-06-14","blue_tank1",28.23,-56.5591777777778,7.99349121937003,NA
"2022-06-14","blue_tank2",28.25,-56.5361111111111,7.99287641238784,NA
"2022-06-14","blue_tank3",28.14,-56.6629777777778,7.99625855444985,NA
"2022-06-14","blue_tank4",28.3,-56.4784444444444,7.99133964335891,NA
"2022-06-15","header_tank",28.41,-56.3515777777778,7.98795999879425,NA
"2022-06-15","quarantine_tank",25.38,-59.8461777777778,8.08169654821896,NA
"2022-06-15","blue_tank1",28.45,-56.3054444444444,7.98673146161875,NA
"2022-06-15","blue_tank2",28.44,-56.3169777777778,7.98703857471401,NA
"2022-06-15","blue_tank3",28.45,-56.3054444444444,7.98673146161875,NA
"2022-06-15","blue_tank4",28.44,-56.3169777777778,7.98703857471401,NA
"2022-06-16","header_tank",28.65,-56.0747777777778,7.98059216139723,NA
"2022-06-16","quarantine_tank",28.81,-55.8902444444444,7.97568477002325,NA
"2022-06-16","blue_tank1",28.71,-56.0055777777778,7.97875146882718,NA
"2022-06-16","blue_tank2",28.71,-56.0055777777778,7.97875146882718,NA
"2022-06-16","blue_tank3",28.7,-56.0171111111111,7.97905821582183,NA
"2022-06-16","blue_tank4",28.7,-56.0171111111111,7.97905821582183,NA
"2022-07-11","header_tank",26.35,-58.7274444444444,8.05154089936752,8.04098271087302
"2022-07-11","quarantine_tank",26.1,-59.0157777777778,8.05929941839474,8.12639908370772
"2022-07-11","blue_tank1",26.35,-58.7274444444444,8.05154089936752,8.05276181261117
"2022-07-11","blue_tank2",26.35,-58.7274444444444,8.05154089936752,8.05107908379143
"2022-07-11","blue_tank3",26.34,-58.7389777777778,8.05185106085107,8.03436729858874
"2022-07-11","blue_tank4",26.34,-58.7389777777778,8.05185106085107,8.03436729858874
"2022-07-12","header_tank",26.31,-58.7735777777778,8.05278163478134,8.04144563340117
"2022-07-12","quarantine_tank",26.33,-58.7505111111111,8.05216123724534,8.12367338690585
"2022-07-12","blue_tank1",26.34,-58.7389777777778,8.05185106085107,8.05287793365708
"2022-07-12","blue_tank2",26.36,-58.7159111111111,8.05123075279086,8.05096302087795
"2022-07-12","blue_tank3",26.35,-58.7274444444444,8.05154089936752,8.05107908379143
"2022-07-12","blue_tank4",26.35,-58.7274444444444,8.05154089936752,8.05107908379143
"2022-07-13","header_tank",26.37,-58.7043777777778,8.05092062111736,NA
"2022-07-13","quarantine_tank",26.21,-58.8889111111111,8.05588451839336,NA
"2022-07-13","blue_tank1",26.39,-58.6813111111111,8.05030040246493,NA
"2022-07-13","blue_tank2",26.39,-58.6813111111111,8.05030040246493,NA
"2022-07-13","blue_tank3",26.37,-58.7043777777778,8.05092062111736,NA
"2022-07-13","blue_tank4",26.39,-58.6813111111111,8.05030040246493,NA
"2022-07-14","header_tank",26.11,-59.0042444444444,8.05898889800712,8.05386518324317
"2022-07-14","quarantine_tank",26.56,-58.4852444444444,8.04503094589391,8.10413330984788
"2022-07-14","blue_tank1",26.12,-58.9927111111111,8.05867839261742,8.06216918323157
"2022-07-14","blue_tank2",26.13,-58.9811777777778,8.05836790222205,8.06205279358431
"2022-07-14","blue_tank3",26.11,-59.0042444444444,8.05898889800712,8.06228557490111
"2022-07-14","blue_tank4",26.09,-59.0273111111111,8.05960995378413,8.0658867460937
"2022-07-16","header_tank",25.98,-59.1541777777778,8.06302683427388,8.01662416555986
"2022-07-16","quarantine_tank",26.16,-58.9465777777778,8.05743652096282,8.10716615588012
"2022-07-16","blue_tank1",26.02,-59.1080444444444,8.06178412187965,8.01784939750319
"2022-07-16","blue_tank2",26.02,-59.1080444444444,8.06178412187965,8.01616481254644
"2022-07-16","blue_tank3",26.02,-59.1080444444444,8.06178412187965,8.01616481254644
"2022-07-16","blue_tank4",26.02,-59.1080444444444,8.06178412187965,8.01784939750319
"2022-07-17","header_tank",26.02,-59.1080444444444,8.06178412187965,NA
"2022-07-17","quarantine_tank",NA,NA,NA,NA
"2022-07-17","blue_tank1",28.11,-56.6975777777778,7.99718125566073,NA
"2022-07-17","blue_tank2",28.12,-56.6860444444444,7.99687367434453,NA
"2022-07-17","blue_tank3",28.08,-56.7321777777778,7.99810408512892,NA
"2022-07-17","blue_tank4",28.1,-56.7091111111111,7.99748885122776,NA
"2022-07-18","header_tank",26.41,-58.6582444444444,8.0496802433796,7.93934487795714
"2022-07-18","quarantine_tank",26.63,-58.4045111111111,8.04286241623449,8.1083517050589
"2022-07-18","blue_tank1",26.46,-58.6005777777778,8.04813010607464,7.94551161523354
"2022-07-18","blue_tank2",26.46,-58.6005777777778,8.04813010607464,7.94214739320149
"2022-07-18","blue_tank3",26.45,-58.6121111111111,8.04844010378975,7.93721334201318
"2022-07-18","blue_tank4",26.46,-58.6005777777778,8.04813010607464,7.93541894913739
"2022-07-19","header_tank",26.61,-58.4275777777778,8.04348192207455,7.98081130174278
"2022-07-19","quarantine_tank",26.66,-58.3699111111111,8.04193326847399,8.10799762637795
"2022-07-19","blue_tank1",26.64,-58.3929777777778,8.04255268551804,7.98719440176874
"2022-07-19","blue_tank2",26.64,-58.3929777777778,8.04255268551804,7.9855133007263
"2022-07-19","blue_tank3",26.64,-58.3929777777778,8.04255268551804,7.98383219968387
"2022-07-19","blue_tank4",26.64,-58.3929777777778,8.04255268551804,7.98383219968387
"2022-07-20","header_tank",26.9,-58.0931111111111,8.03450486979423,8.00270733633727
"2022-07-20","quarantine_tank",27.05,-57.9201111111111,8.02986642359219,8.09164458476755
"2022-07-20","blue_tank1",26.96,-58.0239111111111,8.03264909512833,8.01209585149804
"2022-07-20","blue_tank2",26.96,-58.0239111111111,8.03264909512833,8.01209585149804
"2022-07-20","blue_tank3",26.96,-58.0239111111111,8.03264909512833,8.01041654297279
"2022-07-20","blue_tank4",26.96,-58.0239111111111,8.03264909512833,8.01209585149804
"2022-07-25","header_tank",26.27,-58.8197111111111,8.05402260894873,8.01497773219806
"2022-07-25","quarantine_tank",27.24,-57.7009777777778,8.02399578667371,8.08773362388384
"2022-07-25","blue_tank1",26.33,-58.7505111111111,8.05216123724534,8.04121416828012
"2022-07-25","blue_tank2",26.32,-58.7620444444444,8.05247142855418,8.04301279726559
"2022-07-25","blue_tank3",26.32,-58.7620444444444,8.05247142855418,8.01440354162834
"2022-07-25","blue_tank4",26.32,-58.7620444444444,8.05247142855418,8.03964700248473
"2022-07-26","header_tank",26.23,-58.8658444444444,8.05526382211227,8.01543711853859
"2022-07-26","quarantine_tank",26.63,-58.4045111111111,8.04286241623449,8.08985897673607
"2022-07-26","blue_tank1",26.26,-58.8312444444444,8.05433288982421,8.01509257595198
"2022-07-26","blue_tank2",26.26,-58.8312444444444,8.05433288982421,8.01509257595198
"2022-07-26","blue_tank3",26.25,-58.8427777777778,8.05464318564086,8.01520742159181
"2022-07-26","blue_tank4",26.25,-58.8427777777778,8.05464318564086,8.01689071244522
"2022-07-27","header_tank",26.24,-58.8543111111111,8.05495349640223,7.98670536880353
"2022-07-27","quarantine_tank",26.14,-58.9696444444444,8.05805742681702,8.07372377262635
"2022-07-27","blue_tank1",26.28,-58.8081777777778,8.0537123430105,7.98793293506521
"2022-07-27","blue_tank2",26.28,-58.8081777777778,8.0537123430105,7.98793293506521
"2022-07-27","blue_tank3",26.28,-58.8081777777778,8.0537123430105,7.9896160572691
"2022-07-27","blue_tank4",26.28,-58.8081777777778,8.0537123430105,7.99129917947299
"2022-07-28","header_tank",26.01,-59.1195777777778,8.06209477742034,8.14768166672651
"2022-07-28","quarantine_tank",26.31,-58.7735777777778,8.05278163478134,8.09361719463418
"2022-07-28","blue_tank1",26.05,-59.0734444444444,8.06085224543581,8.15225801805803
"2022-07-28","blue_tank2",26.05,-59.0734444444444,8.06085224543581,8.15225801805803
"2022-07-28","blue_tank3",26.05,-59.0734444444444,8.06085224543581,8.15562685015369
"2022-07-28","blue_tank4",26.06,-59.0619111111111,8.06054165000113,8.15550735004923
"2022-07-29","header_tank",26.11,-59.0042444444444,8.05898889800712,8.18859144977019
"2022-07-29","quarantine_tank",25.47,-59.7423777777778,8.07889260526532,8.09336658946327
"2022-07-29","blue_tank1",26.15,-58.9581111111111,8.05774696639847,8.1881090150447
"2022-07-29","blue_tank2",26.14,-58.9696444444444,8.05805742681702,8.18991352979917
"2022-07-29","blue_tank3",26.13,-58.9811777777778,8.05836790222205,8.19003419359376
"2022-07-29","blue_tank4",26.14,-58.9696444444444,8.05805742681702,8.19159743932341
"2022-08-01","header_tank",26.4,-58.6697777777778,8.04999031547825,8.18004728029317
