Source,Species,Date_Received,Date_Fragmented,Size,Tag_ID,Initials,Date_Removed,Reason,Initials,Notes
OSA,Pocillopora_damicornis,20230410,20230510,Plug,20,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,21,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,22,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,23,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,24,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,25,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,26,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,27,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,28,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,29,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,30,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,31,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,32,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,33,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,34,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,35,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,36,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,37,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,38,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,39,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,40,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,41,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,42,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,43,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,44,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,45,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,46,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,47,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,48,LZ,,,,to be rechecked by Zoe
